Task ID,Storage Interval,Operator ID,Message Length (secs),Start Time,Stop Time,Threshold Method,Duration,Station Name,All Single Channels,Location (lat),Location (lon),Antenna,Polarization
836,15 secs,HP-PC,15,8/12/2016 10:31,8/12/2016 10:36,Noise Riding 10 dB,Fixed: 5 mins,AR1 PATHUM THANI,No,14.070668,100.63418,Vertical Ref,Vertical
,,,,,,,,,,,,,
Band #,Start Frequency (MHz),Stop Frequency (MHz),Bandwidth (kHz),,,,,,,,,,
1,136,174,12.5,,,,,,,,,,
,,,,,,,,,,,,,
Channel No.,Frequency (MHz),Maximum Occupancy (%),Average Occupancy (%),,,,,,,,,,
246,139.0625,0,0,,,,,,,,,,
247,139.075,0,0,,,,,,,,,,
248,139.0875,0,0,,,,,,,,,,
249,139.1,0,0,,,,,,,,,,
250,139.1125,0,0,,,,,,,,,,
251,139.125,0,0,,,,,,,,,,
252,139.1375,0,0,,,,,,,,,,
253,139.15,0,0,,,,,,,,,,
254,139.1625,0,0,,,,,,,,,,
255,139.175,0,0,,,,,,,,,,
256,139.1875,0,0,,,,,,,,,,
257,139.2,0,0,,,,,,,,,,
258,139.2125,0,0,,,,,,,,,,
259,139.225,0,0,,,,,,,,,,
260,139.2375,0,0,,,,,,,,,,
261,139.25,0,0,,,,,,,,,,
262,139.2625,0,0,,,,,,,,,,
263,139.275,0,0,,,,,,,,,,
264,139.2875,0,0,,,,,,,,,,
265,139.3,0,0,,,,,,,,,,
266,139.3125,0,0,,,,,,,,,,
267,139.325,0,0,,,,,,,,,,
268,139.3375,0,0,,,,,,,,,,
269,139.35,0,0,,,,,,,,,,
270,139.3625,0,0,,,,,,,,,,
271,139.375,0,0,,,,,,,,,,
272,139.3875,0,0,,,,,,,,,,
273,139.4,0,0,,,,,,,,,,
274,139.4125,0,0,,,,,,,,,,
275,139.425,0,0,,,,,,,,,,
276,139.4375,0,0,,,,,,,,,,
277,139.45,0,0,,,,,,,,,,
278,139.4625,0,0,,,,,,,,,,
279,139.475,0,0,,,,,,,,,,
280,139.4875,0,0,,,,,,,,,,
281,139.5,0,0,,,,,,,,,,
282,139.5125,0,0,,,,,,,,,,
283,139.525,0,0,,,,,,,,,,
284,139.5375,0,0,,,,,,,,,,
285,139.55,0,0,,,,,,,,,,
286,139.5625,0,0,,,,,,,,,,
287,139.575,0,0,,,,,,,,,,
288,139.5875,0,0,,,,,,,,,,
289,139.6,0,0,,,,,,,,,,
290,139.6125,0,0,,,,,,,,,,
291,139.625,0,0,,,,,,,,,,
292,139.6375,0,0,,,,,,,,,,
293,139.65,0,0,,,,,,,,,,
294,139.6625,0,0,,,,,,,,,,
295,139.675,0,0,,,,,,,,,,
296,139.6875,0,0,,,,,,,,,,
297,139.7,0,0,,,,,,,,,,
298,139.7125,0,0,,,,,,,,,,
299,139.725,0,0,,,,,,,,,,
300,139.7375,0,0,,,,,,,,,,
301,139.75,0,0,,,,,,,,,,
302,139.7625,0,0,,,,,,,,,,
303,139.775,0,0,,,,,,,,,,
304,139.7875,0,0,,,,,,,,,,
305,139.8,0,0,,,,,,,,,,
306,139.8125,0,0,,,,,,,,,,
307,139.825,0,0,,,,,,,,,,
308,139.8375,0,0,,,,,,,,,,
309,139.85,0,0,,,,,,,,,,
310,139.8625,0,0,,,,,,,,,,
311,139.875,0,0,,,,,,,,,,
312,139.8875,0,0,,,,,,,,,,
313,139.9,0,0,,,,,,,,,,
314,139.9125,0,0,,,,,,,,,,
315,139.925,0,0,,,,,,,,,,
316,139.9375,0,0,,,,,,,,,,
