99746825.4,-98.08380127, 
99748412.7,-97.24893951, 
99750000,-100.6051559, 
99751587.3,-95.86503601, 
99753174.6,-95.57517242, 
99754761.9,-103.6687698, 
99756349.21,-96.3250885, 
99757936.51,-94.28395081, 
99759523.81,-95.21516418, 
99761111.11,-102.9189911, 
99762698.41,-96.40995789, 
99764285.71,-107.2513504, 
99765873.02,-98.33042145, 
99767460.32,-99.14131927, 
99769047.62,-99.65731812, 
99770634.92,-103.6910934, 
99772222.22,-115.6741562, 
99773809.52,-108.0616989, 
99775396.83,-104.0287933, 
99776984.13,-101.9976883, 
99778571.43,-97.20566559, 
99780158.73,-98.91092682, 
99781746.03,-105.5982895, 
99783333.33,-100.2775497, 
99784920.63,-100.1164398, 
99786507.94,-97.5375061, 
99788095.24,-104.8751144, 
99789682.54,-103.7060852, 
99791269.84,-109.4109726, 
99792857.14,-98.77308655, 
99794444.44,-106.3235626, 
99796031.75,-113.142807, 
99797619.05,-106.2511749, 
99799206.35,-108.9182205, 
99800793.65,-101.1191788, 
99802380.95,-113.4343567, 
99803968.25,-112.0399628, 
99805555.56,-107.4556122, 
99807142.86,-105.0702667, 
99808730.16,-111.4044037, 
99810317.46,-103.8095856, 
99811904.76,-104.0674973, 
99813492.06,-113.1880417, 
99815079.37,-115.7804718, 
99816666.67,-105.4585266, 
99818253.97,-105.512619, 
99819841.27,-111.448143, 
99821428.57,-114.1457977, 
99823015.87,-110.2105637, 
99824603.17,-109.3595428, 
99826190.48,-113.6989594, 
99827777.78,-106.7041931, 
99829365.08,-118.2197037, 
99830952.38,-107.4929581, 
99832539.68,-110.3106003, 
99834126.98,-118.2946548, 
99835714.29,-119.3951797, 
99837301.59,-108.5301437, 
99838888.89,-103.9203033, 
99840476.19,-112.4781876, 
99842063.49,-114.5554657, 
99843650.79,-104.2096252, 
99845238.1,-105.8251724, 
99846825.4,-104.034462, 
99848412.7,-107.4493942, 
99850000,-104.4966049, 
99851587.3,-114.6223755, 
99853174.6,-107.8588638, 
99854761.9,-106.6176224, 
99856349.21,-118.402298, 
99857936.51,-105.2700958, 
99859523.81,-106.9099808, 
99861111.11,-107.5440063, 
99862698.41,-105.8461456, 
99864285.71,-107.0589905, 
99865873.02,-103.6733627, 
99867460.32,-103.4351196, 
99869047.62,-105.2902679, 
99870634.92,-105.9859848, 
99872222.22,-104.3985672, 
99873809.52,-107.0955048, 
99875396.83,-104.3111572, 
99876984.13,-103.1713562, 
99878571.43,-101.8544617, 
99880158.73,-105.0638657, 
99881746.03,-114.5827713, 
99883333.33,-104.4643631, 
99884920.63,-106.9078827, 
99886507.94,-108.7659225, 
99888095.24,-106.7923508, 
99889682.54,-105.56707, 
99891269.84,-105.3854523, 
99892857.14,-105.7709503, 
99894444.44,-104.5267258, 
99896031.75,-103.2851028, 
99897619.05,-107.5607605, 
99899206.35,-107.8339844, 
99900793.65,-109.3717346, 
99902380.95,-110.2182541, 
99903968.25,-111.4575195, 
99905555.56,-105.3910599, 
99907142.86,-107.7520676, 
99908730.16,-109.7011414, 
99910317.46,-113.1276932, 
99911904.76,-111.5851288, 
99913492.06,-118.9909821, 
99915079.37,-113.287262, 
99916666.67,-108.9778366, 
99918253.97,-110.8349075, 
99919841.27,-108.6800308, 
99921428.57,-111.666481, 
99923015.87,-112.3195419, 
99924603.17,-116.5444565, 
99926190.48,-108.8763733, 
99927777.78,-113.1248398, 
99929365.08,-115.2412415, 
99930952.38,-110.9446259, 
99932539.68,-119.189949, 
99934126.98,-108.5877075, 
99935714.29,-111.8416443, 
99937301.59,-123.1520233, 
99938888.89,-107.256546, 
99940476.19,-108.707901, 
99942063.49,-117.9637756, 
99943650.79,-109.9424362, 
99945238.1,-108.2901154, 
99946825.4,-110.8091125, 
99948412.7,-104.0849075, 
99950000,-107.2417145, 
99951587.3,-110.4513931, 
99953174.6,-107.2260056, 
99954761.9,-110.6065979, 
99956349.21,-106.8263245, 
99957936.51,-106.6580887, 
99959523.81,-103.1242981, 
99961111.11,-108.1380081, 
99962698.41,-103.1403885, 
99964285.71,-107.9841919, 
99965873.02,-111.221962, 
99967460.32,-101.798027, 
99969047.62,-109.9064636, 
99970634.92,-105.3269577, 
99972222.22,-106.4458389, 
99973809.52,-105.8465958, 
99975396.83,-103.0918427, 
99976984.13,-109.0107727, 
99978571.43,-108.1800537, 
99980158.73,-106.2128525, 
99981746.03,-112.611824, 
99983333.33,-108.3198547, 
99984920.63,-108.2254791, 
99986507.94,-109.2826157, 
99988095.24,-107.4932632, 
99989682.54,-101.207222, 
99991269.84,-103.7570419, 
99992857.14,-106.5954895, 
99994444.44,-111.818367, 
99996031.75,-106.5950089, 
99997619.05,-109.0495071, 
99999206.35,-107.0591278, 
100000793.7,-98.53620911, 
100002381,-99.98823547, 
100003968.3,-99.99600983, 
100005555.6,-100.2264175, 
100007142.9,-101.4361801, 
100008730.2,-99.29650879, 
100010317.5,-100.7701874, 
100011904.8,-101.8597641, 
100013492.1,-104.5219803, 
100015079.4,-102.6687088, 
100016666.7,-104.3005905, 
100018254,-99.31677246, 
100019841.3,-102.6445236, 
100021428.6,-107.0295486, 
100023015.9,-98.88845825, 
100024603.2,-101.5622635, 
100026190.5,-102.1411133, 
100027777.8,-98.50302887, 
100029365.1,-100.4711227, 
100030952.4,-100.8381195, 
100032539.7,-101.2164383, 
100034127,-98.00962067, 
100035714.3,-104.941246, 
100037301.6,-104.4971237, 
100038888.9,-106.1514664, 
100040476.2,-100.5133438, 
100042063.5,-99.42558289, 
100043650.8,-103.1427307, 
100045238.1,-113.5778122, 
100046825.4,-111.1574097, 
100048412.7,-100.0002441, 
100050000,-97.12367249, 
100051587.3,-105.2918167, 
100053174.6,-108.7529602, 
100054761.9,-103.6318283, 
100056349.2,-105.2719879, 
100057936.5,-108.1850815, 
100059523.8,-108.2187729, 
100061111.1,-106.613533, 
100062698.4,-107.9796371, 
100064285.7,-111.8020096, 
100065873,-111.7546387, 
100067460.3,-107.4041519, 
100069047.6,-109.5333328, 
100070634.9,-110.6606216, 
100072222.2,-108.3387375, 
100073809.5,-107.5190811, 
100075396.8,-99.51641846, 
100076984.1,-103.9337616, 
100078571.4,-112.2130508, 
100080158.7,-115.9847031, 
100081746,-109.5410538, 
100083333.3,-107.2028503, 
100084920.6,-108.1550751, 
100086507.9,-115.0994492, 
100088095.2,-115.6973801, 
100089682.5,-106.0671997, 
100091269.8,-110.1016998, 
100092857.1,-112.2835312, 
100094444.4,-106.0427475, 
100096031.7,-107.1832275, 
100097619,-106.5564728, 
100099206.3,-106.2846298, 
100100793.7,-109.3753281, 
100102381,-105.2573166, 
100103968.3,-107.0874252, 
100105555.6,-107.1836853, 
100107142.9,-108.211853, 
100108730.2,-108.9652176, 
100110317.5,-110.250206, 
100111904.8,-112.0707474, 
100113492.1,-110.2064056, 
100115079.4,-113.1334229, 
100116666.7,-115.9386368, 
100118254,-106.7363358, 
100119841.3,-105.97686, 
100121428.6,-106.2224197, 
100123015.9,-106.691864, 
100124603.2,-108.4687042, 
100126190.5,-110.9628448, 
100127777.8,-109.5346832, 
100129365.1,-110.793335, 
100130952.4,-111.777504, 
100132539.7,-109.405571, 
100134127,-104.7359467, 
100135714.3,-105.2010727, 
100137301.6,-104.8008499, 
100138888.9,-105.885498, 
100140476.2,-108.5520401, 
100142063.5,-110.5493317, 
100143650.8,-109.6820068, 
100145238.1,-110.2229996, 
100146825.4,-110.5563889, 
100148412.7,-109.5580368, 
100150000,-117.0943146, 
100151587.3,-115.3660583, 
100153174.6,-107.0284195, 
100154761.9,-104.5904694, 
100156349.2,-107.1701965, 
100157936.5,-109.6754379, 
100159523.8,-112.0280991, 
100161111.1,-112.7527618, 
100162698.4,-107.0569534, 
100164285.7,-107.7190094, 
100165873,-111.4102478, 
100167460.3,-117.3096313, 
100169047.6,-120.2834015, 
100170634.9,-117.6116562, 
100172222.2,-116.8015518, 
100173809.5,-111.3901901, 
100175396.8,-110.6023102, 
100176984.1,-117.8681107, 
100178571.4,-116.0589523, 
100180158.7,-109.5333633, 
100181746,-111.2074814, 
100183333.3,-109.8920288, 
100184920.6,-111.2974396, 
100186507.9,-111.7811279, 
100188095.2,-109.4282684, 
100189682.5,-106.188858, 
100191269.8,-113.4531021, 
100192857.1,-114.8148575, 
100194444.4,-105.5994492, 
100196031.7,-108.5701447, 
100197619,-109.0586548, 
100199206.3,-105.3996429, 
100200793.7,-103.9201279, 
